factura_id,cliente_id,cantidad,monto_pesos,producto_id,fecha
10748,11064,2,17600,11007,2024-12-30
10748,11064,2,62400,43002,2024-12-30
10748,11064,1,17400,7010,2024-12-30
10748,11064,1,29800,15002,2024-12-30
10749,12458,1,14800,1012,2024-12-30
10726,11994,1,14900,40006,2024-12-29
10726,11994,2,14800,29005,2024-12-29
10727,10370,1,19800,8013,2024-12-29
10727,10370,3,83400,6011,2024-12-29
10727,10370,1,14400,21011,2024-12-29
10728,10424,3,54600,17002,2024-12-29
10728,10424,1,31200,43002,2024-12-29
10729,12490,2,46600,42001,2024-12-29
10729,12490,1,19400,49014,2024-12-29
10730,10246,1,15700,16011,2024-12-29
10730,10246,2,20600,23011,2024-12-29
10730,10246,2,17600,11007,2024-12-29
10730,10246,1,14400,21006,2024-12-29
10730,10246,2,13800,31011,2024-12-29
10731,12386,2,28800,21008,2024-12-29
10731,12386,3,44400,1002,2024-12-29
10732,12195,2,36400,17012,2024-12-29
10732,12195,1,6300,37003,2024-12-29
10732,12195,1,15700,16010,2024-12-29
10732,12195,1,15700,16011,2024-12-29
10733,11943,1,17300,22006,2024-12-29
10733,11943,1,19400,49014,2024-12-29
10733,11943,1,15700,16006,2024-12-29
10734,12329,1,16200,47001,2024-12-29
10734,12329,2,14800,29002,2024-12-29
10734,12329,1,18600,39005,2024-12-29
10734,12329,1,15800,2012,2024-12-29
10735,12991,1,14800,1005,2024-12-29
10735,12991,2,12400,9007,2024-12-29
10735,12991,1,12600,20014,2024-12-29
10735,12991,1,24600,24015,2024-12-29
10735,12991,2,34800,7008,2024-12-29
10735,12991,1,5500,36015,2024-12-29
10736,12638,1,26500,33012,2024-12-29
10736,12638,2,49200,24014,2024-12-29
10736,12638,2,62400,43014,2024-12-29
10736,12638,1,15800,46009,2024-12-29
10736,12638,3,58500,13013,2024-12-29
10736,12638,1,19900,38007,2024-12-29
10737,13093,1,19900,38002,2024-12-29
10737,13093,1,8200,12006,2024-12-29
10738,10419,2,13800,31006,2024-12-29
10738,10419,1,8700,35003,2024-12-29
10738,10419,2,34800,7010,2024-12-29
10738,10419,1,26500,33009,2024-12-29
10738,10419,1,15700,16005,2024-12-29
10717,12260,3,51900,22015,2024-12-28
10717,12260,1,19400,49015,2024-12-28
10717,12260,1,8800,11002,2024-12-28
10718,11890,1,18200,17001,2024-12-28
10718,11890,1,5800,10005,2024-12-28
10718,11890,1,15700,16006,2024-12-28
10718,11890,1,8100,44014,2024-12-28
10719,11316,2,62400,43005,2024-12-28
10719,11316,1,22500,25012,2024-12-28
10719,11316,1,15800,2002,2024-12-28
10719,11316,1,19900,38002,2024-12-28
10719,11316,1,14800,1001,2024-12-28
10719,11316,1,14900,40012,2024-12-28
10720,10790,3,58200,49015,2024-12-28
10721,12228,1,23800,32005,2024-12-28
10721,12228,1,21100,18013,2024-12-28
10721,12228,3,26100,35009,2024-12-28
10722,11735,1,19900,38012,2024-12-28
10722,11735,3,22200,29002,2024-12-28
10722,11735,3,54600,17002,2024-12-28
10722,11735,1,24600,24014,2024-12-28
10723,13054,1,31200,43013,2024-12-28
10723,13054,1,15700,16011,2024-12-28
10723,13054,1,17400,7007,2024-12-28
10723,13054,2,31600,46013,2024-12-28
10723,13054,1,17300,22006,2024-12-28
10723,13054,2,36400,17011,2024-12-28
10724,10498,2,49200,24011,2024-12-28
10724,10498,2,39800,38007,2024-12-28
10724,10498,1,9700,3007,2024-12-28
10725,10978,2,57400,5004,2024-12-28
10725,10978,2,13600,45006,2024-12-28
10725,10978,1,15800,2002,2024-12-28
10705,12689,1,15800,2002,2024-12-27
10706,12108,1,14900,40005,2024-12-27
10706,12108,1,29800,15002,2024-12-27
10706,12108,3,67500,25012,2024-12-27
10706,12108,1,8100,44004,2024-12-27
10707,11901,1,17300,22015,2024-12-27
10708,13363,1,14400,21006,2024-12-27
10708,13363,2,42200,18005,2024-12-27
10708,13363,2,29800,40011,2024-12-27
10708,13363,1,6200,9012,2024-12-27
10708,13363,1,17400,7009,2024-12-27
10709,10609,1,19500,13005,2024-12-27
10709,10609,1,19900,38012,2024-12-27
10710,12483,3,20700,31011,2024-12-27
10710,12483,2,55600,6004,2024-12-27
10711,10991,1,17400,7010,2024-12-27
10711,10991,2,14800,29002,2024-12-27
10711,10991,2,15200,30015,2024-12-27
10712,12393,1,8700,35003,2024-12-27
10712,12393,1,19900,38015,2024-12-27
10712,12393,1,29800,15002,2024-12-27
10713,13251,2,11000,36015,2024-12-27
10713,13251,1,9700,3007,2024-12-27
10713,13251,2,28800,21005,2024-12-27
10713,13251,2,17400,35004,2024-12-27
10714,12994,1,6900,31008,2024-12-27
10714,12994,1,16200,47008,2024-12-27
10714,12994,1,17400,7010,2024-12-27
10714,12994,2,32400,47001,2024-12-27
10714,12994,2,36400,17011,2024-12-27
10715,10189,1,17400,7005,2024-12-27
10715,10189,1,11200,19014,2024-12-27
10715,10189,1,8200,12006,2024-12-27
10715,10189,1,8700,35006,2024-12-27
10715,10189,2,62400,43014,2024-12-27
10716,12707,2,35800,27004,2024-12-27
10716,12707,1,8100,44009,2024-12-27
10716,12707,1,16100,28013,2024-12-27
10716,12707,1,28700,5009,2024-12-27
10716,12707,1,31200,43005,2024-12-27
10702,13299,2,17600,11015,2024-12-26
10702,13299,1,24600,24015,2024-12-26
10702,13299,1,8700,35006,2024-12-26
10702,13299,1,28700,5004,2024-12-26
10702,13299,1,17900,27015,2024-12-26
10702,13299,2,46600,42003,2024-12-26
10703,13300,1,23300,42003,2024-12-26
10703,13300,1,8800,11015,2024-12-26
10704,12043,2,55600,6011,2024-12-26
10704,12043,3,58500,13010,2024-12-26
10704,12043,1,21000,26011,2024-12-26
10698,11956,1,12600,20002,2024-12-25
10698,11956,1,18600,39001,2024-12-25
10698,11956,2,28800,21011,2024-12-25
10698,11956,1,18200,17004,2024-12-25
10699,12331,1,15700,16005,2024-12-25
10699,12331,2,14800,29005,2024-12-25
10699,12331,1,5800,10005,2024-12-25
10699,12331,1,8200,12006,2024-12-25
10699,12331,1,9700,3010,2024-12-25
10699,12331,1,12100,34012,2024-12-25
10700,11190,1,8200,12006,2024-12-25
10700,11190,2,37200,39009,2024-12-25
10700,11190,1,19400,49015,2024-12-25
10700,11190,1,23800,32005,2024-12-25
10700,11190,2,19400,3010,2024-12-25
10701,12549,2,62400,43005,2024-12-25
10701,12549,1,19900,38002,2024-12-25
10696,10545,1,6900,31007,2024-12-24
10696,10545,3,26100,35006,2024-12-24
10696,10545,1,17900,27006,2024-12-24
10696,10545,2,37200,39005,2024-12-24
10696,10545,1,21100,18013,2024-12-24
10696,10545,2,32400,47001,2024-12-24
10697,12072,1,12100,34007,2024-12-24
10697,12072,1,27800,6009,2024-12-24
10697,12072,2,34800,7007,2024-12-24
10697,12072,1,22500,25004,2024-12-24
10689,11115,1,18600,39009,2024-12-23
10690,12847,1,8700,35009,2024-12-23
10691,13281,3,17400,10004,2024-12-23
10691,13281,1,29800,15014,2024-12-23
10691,13281,1,18200,17001,2024-12-23
10691,13281,1,14900,40005,2024-12-23
10692,11055,1,23800,32003,2024-12-23
10692,11055,1,27800,6009,2024-12-23
10692,11055,1,10300,23005,2024-12-23
10692,11055,1,18600,39015,2024-12-23
10692,11055,1,7400,29005,2024-12-23
10692,11055,1,7400,29002,2024-12-23
10693,11117,1,24600,24002,2024-12-23
10694,11184,2,24200,34007,2024-12-23
10694,11184,1,23800,32005,2024-12-23
10695,10945,2,36400,17004,2024-12-23
10695,10945,1,11200,19014,2024-12-23
10683,12378,2,35800,27001,2024-12-22
10683,12378,1,12100,34007,2024-12-22
10683,12378,2,29800,40005,2024-12-22
10683,12378,1,21000,26015,2024-12-22
10684,11169,1,14800,1001,2024-12-22
10684,11169,1,18600,39015,2024-12-22
10684,11169,2,16200,44004,2024-12-22
10684,11169,2,39800,38010,2024-12-22
10685,10347,3,59400,8013,2024-12-22
10685,10347,2,59600,15002,2024-12-22
10685,10347,1,11200,19014,2024-12-22
10685,10347,1,6900,31012,2024-12-22
10685,10347,1,14800,1001,2024-12-22
10686,11623,2,59600,15002,2024-12-22
10686,11623,3,26400,11007,2024-12-22
10686,11623,1,17900,27011,2024-12-22
10687,11558,1,17400,7004,2024-12-22
10688,12238,1,9700,3001,2024-12-22
10688,12238,2,37200,39009,2024-12-22
10681,13330,1,9700,3002,2024-12-21
10681,13330,1,17900,27011,2024-12-21
10682,10573,1,8100,44014,2024-12-21
10682,10573,2,34800,7008,2024-12-21
10682,10573,1,14400,21011,2024-12-21
10682,10573,2,49200,24015,2024-12-21
10669,10904,1,29800,15002,2024-12-20
10669,10904,2,32400,47008,2024-12-20
10669,10904,2,57400,5004,2024-12-20
10669,10904,1,17900,27004,2024-12-20
10670,13072,2,36400,17011,2024-12-20
10671,10445,1,29800,15014,2024-12-20
10671,10445,2,12400,9012,2024-12-20
10671,10445,2,45000,25012,2024-12-20
10672,10330,1,18300,14012,2024-12-20
10672,10330,2,19400,3007,2024-12-20
10672,10330,2,39800,38015,2024-12-20
10672,10330,2,57400,5004,2024-12-20
10672,10330,2,57400,5009,2024-12-20
10672,10330,1,21000,26011,2024-12-20
10673,10029,2,14800,29007,2024-12-20
10674,12034,2,19400,3002,2024-12-20
10674,12034,1,23300,42008,2024-12-20
10674,12034,1,10900,41005,2024-12-20
10675,13368,1,23300,42008,2024-12-20
10675,13368,1,17900,27015,2024-12-20
10675,13368,1,21200,4002,2024-12-20
10675,13368,2,45000,25004,2024-12-20
10676,12981,2,32400,47010,2024-12-20
10676,12981,1,23300,42008,2024-12-20
10676,12981,1,16200,47008,2024-12-20
10676,12981,2,14800,29002,2024-12-20
10676,12981,1,5800,10005,2024-12-20
10677,13388,3,53700,27011,2024-12-20
10677,13388,3,51900,22015,2024-12-20
10677,13388,2,29800,40006,2024-12-20
10677,13388,2,32400,47006,2024-12-20
10677,13388,1,31200,43014,2024-12-20
10678,11052,1,15700,16006,2024-12-20
10678,11052,1,26500,33009,2024-12-20
10678,11052,1,8100,44014,2024-12-20
10678,11052,1,8800,11002,2024-12-20
10678,11052,1,19800,8013,2024-12-20
10679,10331,1,6900,31012,2024-12-20
10679,10331,1,21000,26011,2024-12-20
10679,10331,2,39000,13005,2024-12-20
10679,10331,2,24200,34010,2024-12-20
10679,10331,2,59600,15014,2024-12-20
10679,10331,1,8700,35006,2024-12-20
10680,11335,1,19900,38014,2024-12-20
10680,11335,1,5500,36002,2024-12-20
10680,11335,1,15700,16006,2024-12-20
10660,12568,2,42200,18005,2024-12-19
10660,12568,1,17300,22006,2024-12-19
10661,12519,2,16200,44009,2024-12-19
10661,12519,1,16200,47015,2024-12-19
10661,12519,1,9700,3002,2024-12-19
10661,12519,1,6300,37003,2024-12-19
10662,12331,1,21100,18013,2024-12-19
10662,12331,2,39600,8013,2024-12-19
10662,12331,1,31200,43013,2024-12-19
10662,12331,1,7400,29005,2024-12-19
10662,12331,3,86100,5009,2024-12-19
10663,12517,2,11000,36002,2024-12-19
10663,12517,1,14800,1004,2024-12-19
10663,12517,2,46600,42003,2024-12-19
10664,13478,1,24600,24003,2024-12-19
10664,13478,1,14800,1005,2024-12-19
10664,13478,1,17400,7009,2024-12-19
10664,13478,1,19400,49013,2024-12-19
10664,13478,2,11600,10003,2024-12-19
10665,11396,1,14400,21008,2024-12-19
10665,11396,2,28800,21005,2024-12-19
10665,11396,2,17400,35006,2024-12-19
10665,11396,3,26400,11015,2024-12-19
10665,11396,3,36300,34005,2024-12-19
10666,12064,1,14900,40011,2024-12-19
10666,12064,1,31200,43003,2024-12-19
10666,12064,2,13800,31006,2024-12-19
10666,12064,1,24600,24011,2024-12-19
10666,12064,1,8200,12006,2024-12-19
10666,12064,2,42000,26012,2024-12-19
10667,12090,1,21000,26011,2024-12-19
10668,13018,1,6900,31012,2024-12-19
10668,13018,2,29800,40012,2024-12-19
10668,13018,1,14900,40005,2024-12-19
10668,13018,2,31400,16010,2024-12-19
10668,13018,1,8200,12006,2024-12-19
10652,11273,1,17400,7007,2024-12-18
10652,11273,2,36400,17011,2024-12-18
10652,11273,2,12400,9012,2024-12-18
10653,12919,1,8100,44010,2024-12-18
10654,13217,2,57400,5009,2024-12-18
10654,13217,1,16100,28013,2024-12-18
10655,12979,1,8800,11007,2024-12-18
10655,12979,1,24600,24010,2024-12-18
10655,12979,2,17600,11002,2024-12-18
10655,12979,1,19900,38015,2024-12-18
10655,12979,1,23300,42001,2024-12-18
10656,12876,1,23300,42001,2024-12-18
10656,12876,2,34600,22015,2024-12-18
10656,12876,1,17900,27015,2024-12-18
10656,12876,3,59700,38007,2024-12-18
10656,12876,1,21000,26015,2024-12-18
10656,12876,1,5500,36015,2024-12-18
10657,13457,1,8700,35004,2024-12-18
10657,13457,1,31200,43002,2024-12-18
10657,13457,1,29800,15002,2024-12-18
10658,13115,1,14900,40002,2024-12-18
10658,13115,1,7400,29005,2024-12-18
10658,13115,2,11000,36001,2024-12-18
10658,13115,1,8100,44010,2024-12-18
10658,13115,1,18200,17002,2024-12-18
10658,13115,2,12600,37011,2024-12-18
10659,10055,2,28800,21011,2024-12-18
10659,10055,1,6300,37011,2024-12-18
10659,10055,1,21200,4002,2024-12-18
10659,10055,1,19900,38014,2024-12-18
10648,10727,1,10900,41005,2024-12-17
10648,10727,1,5800,10003,2024-12-17
10648,10727,2,55600,6009,2024-12-17
10648,10727,1,12100,34012,2024-12-17
10648,10727,3,53700,27001,2024-12-17
10648,10727,1,5500,36013,2024-12-17
10649,12657,3,69900,42003,2024-12-17
10649,12657,1,14900,40005,2024-12-17
10650,11946,1,15800,2012,2024-12-17
10650,11946,2,20600,23011,2024-12-17
10650,11946,2,19400,3001,2024-12-17
10651,11923,2,49200,24014,2024-12-17
10643,10773,1,17900,27006,2024-12-16
10643,10773,2,39800,38002,2024-12-16
10644,12658,1,21000,26015,2024-12-16
10644,12658,2,29800,40009,2024-12-16
10644,12658,1,12600,20014,2024-12-16
10644,12658,3,44400,1012,2024-12-16
10644,12658,1,19900,38014,2024-12-16
10644,12658,1,23800,32005,2024-12-16
10645,11924,1,11200,19014,2024-12-16
10646,11931,1,31200,43002,2024-12-16
10647,11737,2,29800,40012,2024-12-16
10647,11737,1,18300,14012,2024-12-16
10647,11737,1,9700,3010,2024-12-16
10628,13097,3,26100,35009,2024-12-15
10628,13097,1,19900,38002,2024-12-15
10629,11395,1,14900,40006,2024-12-15
10630,13102,2,31400,16011,2024-12-15
10630,13102,1,6300,37011,2024-12-15
10630,13102,1,15700,16005,2024-12-15
10631,11575,1,17400,7005,2024-12-15
10631,11575,1,8800,11015,2024-12-15
10631,11575,1,14900,40002,2024-12-15
10632,11835,1,17400,7007,2024-12-15
10632,11835,1,19400,49014,2024-12-15
10633,11570,3,29100,3002,2024-12-15
10633,11570,1,23300,42003,2024-12-15
10633,11570,1,18600,39015,2024-12-15
10633,11570,2,49200,24010,2024-12-15
10633,11570,1,16200,47006,2024-12-15
10633,11570,1,21000,26015,2024-12-15
10634,12422,1,8700,35003,2024-12-15
10635,13244,2,39800,38014,2024-12-15
10635,13244,1,19900,38010,2024-12-15
10636,13229,1,17900,27006,2024-12-15
10636,13229,1,17400,7005,2024-12-15
10636,13229,1,9700,3007,2024-12-15
10636,13229,2,62400,43009,2024-12-15
10636,13229,1,27800,6004,2024-12-15
10637,10558,1,16200,47006,2024-12-15
10637,10558,2,31400,16010,2024-12-15
10638,11847,2,16200,44009,2024-12-15
10638,11847,1,8700,35006,2024-12-15
10638,11847,1,15800,46013,2024-12-15
10639,12651,1,12600,20002,2024-12-15
10639,12651,1,14800,1012,2024-12-15
10639,12651,1,14400,21006,2024-12-15
10640,11719,1,17900,27006,2024-12-15
10640,11719,1,7400,29007,2024-12-15
10640,11719,1,10900,41005,2024-12-15
10640,11719,1,17300,22015,2024-12-15
10640,11719,2,29800,40011,2024-12-15
10640,11719,2,17600,11002,2024-12-15
10641,11801,2,24200,34012,2024-12-15
10641,11801,1,14900,40012,2024-12-15
10641,11801,3,58200,49013,2024-12-15
10642,11273,1,12600,20014,2024-12-15
10626,12611,1,19800,8013,2024-12-14
10626,12611,3,59700,38010,2024-12-14
10626,12611,2,38800,49015,2024-12-14
10627,11573,3,67500,25004,2024-12-14
10627,11573,2,36400,17002,2024-12-14
10627,11573,1,8700,35003,2024-12-14
10627,11573,1,27800,6012,2024-12-14
10619,10166,2,32400,47001,2024-12-13
10619,10166,1,23300,42012,2024-12-13
10619,10166,1,16200,47006,2024-12-13
10619,10166,1,8800,11015,2024-12-13
10620,12020,1,16200,47001,2024-12-13
10620,12020,3,52200,7008,2024-12-13
10621,11521,3,83400,6012,2024-12-13
10621,11521,1,24600,24003,2024-12-13
10621,11521,1,14800,1011,2024-12-13
10621,11521,1,5500,36013,2024-12-13
10621,11521,2,39600,8013,2024-12-13
10622,12675,2,13600,45006,2024-12-13
10622,12675,2,39600,8013,2024-12-13
10622,12675,1,10300,23005,2024-12-13
10622,12675,1,17900,27004,2024-12-13
10622,12675,1,19400,49013,2024-12-13
10623,10120,1,23300,42001,2024-12-13
10623,10120,1,6300,37003,2024-12-13
10623,10120,1,19400,49015,2024-12-13
10623,10120,1,8100,44011,2024-12-13
10623,10120,2,34800,7007,2024-12-13
10624,13057,2,39800,38002,2024-12-13
10624,13057,3,44700,40005,2024-12-13
10624,13057,1,14900,40006,2024-12-13
10624,13057,2,17600,11007,2024-12-13
10624,13057,1,17900,27006,2024-12-13
10625,11934,1,6800,45013,2024-12-13
10625,11934,2,31400,16006,2024-12-13
10617,12376,2,28800,21006,2024-12-12
10617,12376,2,24200,34013,2024-12-12
10617,12376,1,14800,1004,2024-12-12
10617,12376,1,16200,47006,2024-12-12
10618,12963,1,5500,36015,2024-12-12
10618,12963,2,37200,39015,2024-12-12
10618,12963,1,26500,33012,2024-12-12
10618,12963,2,31600,2012,2024-12-12
10618,12963,1,31200,43014,2024-12-12
10607,10205,1,5500,36015,2024-12-11
10607,10205,1,26500,33009,2024-12-11
10608,13335,1,7400,29005,2024-12-11
10608,13335,1,15700,16006,2024-12-11
10608,13335,3,26400,11002,2024-12-11
10609,11593,1,31200,43009,2024-12-11
10609,11593,1,17400,7007,2024-12-11
10609,11593,2,12400,9012,2024-12-11
10609,11593,3,54600,17001,2024-12-11
10609,11593,1,6200,9007,2024-12-11
10609,11593,1,29800,15002,2024-12-11
10610,10647,1,22500,25004,2024-12-11
10610,10647,1,19900,38002,2024-12-11
10611,12185,1,21100,18005,2024-12-11
10612,12279,1,5800,10005,2024-12-11
10612,12279,2,49200,24015,2024-12-11
10612,12279,3,30900,23005,2024-12-11
10613,11058,1,14900,40006,2024-12-11
10613,11058,1,15700,16011,2024-12-11
10613,11058,3,93600,43014,2024-12-11
10613,11058,1,18600,39001,2024-12-11
10613,11058,2,46600,42012,2024-12-11
10613,11058,2,19400,3001,2024-12-11
10614,10493,1,14800,1012,2024-12-11
10614,10493,2,17400,35009,2024-12-11
10614,10493,1,14900,40006,2024-12-11
10614,10493,1,19900,38015,2024-12-11
10614,10493,2,34800,7007,2024-12-11
10615,10064,1,5800,10003,2024-12-11
10615,10064,3,71400,32005,2024-12-11
10615,10064,2,32400,47008,2024-12-11
10615,10064,1,8800,11007,2024-12-11
10616,13333,1,19900,38007,2024-12-11
10616,13333,1,8800,11015,2024-12-11
10616,13333,1,8100,44011,2024-12-11
10616,13333,1,7600,30010,2024-12-11
10599,10844,1,18600,39015,2024-12-10
10599,10844,2,13800,31012,2024-12-10
10599,10844,1,29800,15002,2024-12-10
10600,13452,1,8700,35003,2024-12-10
10601,12313,1,15800,46013,2024-12-10
10602,10441,3,73800,24011,2024-12-10
10602,10441,1,9700,3007,2024-12-10
10602,10441,1,5800,10004,2024-12-10
10602,10441,1,12600,20002,2024-12-10
10602,10441,1,28700,5009,2024-12-10
10602,10441,1,10300,23005,2024-12-10
10603,11583,2,57400,5004,2024-12-10
10603,11583,1,9700,3001,2024-12-10
10603,11583,1,27800,6011,2024-12-10
10603,11583,1,27800,6009,2024-12-10
10603,11583,1,18200,17004,2024-12-10
10604,12228,1,17400,7009,2024-12-10
10604,12228,1,24600,24011,2024-12-10
10604,12228,1,14900,40006,2024-12-10
10605,12042,3,86100,5009,2024-12-10
10605,12042,1,31200,43014,2024-12-10
10605,12042,1,31200,43013,2024-12-10
10605,12042,1,15800,46009,2024-12-10
10606,10185,1,6900,31012,2024-12-10
10595,11788,1,19400,49014,2024-12-09
10595,11788,1,14800,1011,2024-12-09
10595,11788,1,6900,31011,2024-12-09
10595,11788,1,8100,44011,2024-12-09
10595,11788,3,93600,43009,2024-12-09
10596,10983,1,10900,41005,2024-12-09
10597,13269,1,22500,25004,2024-12-09
10597,13269,1,19500,13010,2024-12-09
10598,12277,1,28700,5009,2024-12-09
10583,13315,1,6900,31004,2024-12-08
10583,13315,1,12100,34013,2024-12-08
10584,11244,1,8800,11015,2024-12-08
10584,11244,2,35800,27011,2024-12-08
10584,11244,1,6900,31012,2024-12-08
10585,10790,1,7600,30015,2024-12-08
10585,10790,2,17600,11002,2024-12-08
10585,10790,2,12600,37011,2024-12-08
10585,10790,3,63000,26015,2024-12-08
10586,10154,1,8700,35009,2024-12-08
10586,10154,1,21200,4002,2024-12-08
10587,12431,1,8100,44014,2024-12-08
10587,12431,1,23300,42012,2024-12-08
10587,12431,1,21000,26012,2024-12-08
10587,12431,1,5500,36015,2024-12-08
10587,12431,2,34800,7009,2024-12-08
10588,12694,2,37200,39009,2024-12-08
10588,12694,1,12100,34005,2024-12-08
10588,12694,2,34800,7004,2024-12-08
10588,12694,1,22500,25004,2024-12-08
10589,10904,2,55600,6004,2024-12-08
10589,10904,1,5500,36001,2024-12-08
10589,10904,2,39800,38010,2024-12-08
10590,10577,1,8700,35004,2024-12-08
10590,10577,2,11600,10004,2024-12-08
10590,10577,1,26500,33012,2024-12-08
10590,10577,1,31200,43005,2024-12-08
10590,10577,1,14400,21005,2024-12-08
10591,10968,1,10900,41005,2024-12-08
10591,10968,1,7400,29005,2024-12-08
10591,10968,3,55800,39001,2024-12-08
10592,10042,1,22500,25004,2024-12-08
10592,10042,2,35800,27004,2024-12-08
10592,10042,3,43200,21011,2024-12-08
10592,10042,2,35800,27011,2024-12-08
10592,10042,2,38800,49013,2024-12-08
10593,13195,1,5500,36013,2024-12-08
10593,13195,3,52200,7007,2024-12-08
10594,12701,1,16200,47015,2024-12-08
10594,12701,1,22500,25003,2024-12-08
10594,12701,2,39000,13013,2024-12-08
10594,12701,1,18200,17004,2024-12-08
10594,12701,1,7400,29005,2024-12-08
10594,12701,2,19400,3007,2024-12-08
10573,11496,2,57400,5004,2024-12-07
10573,11496,2,36400,17001,2024-12-07
10573,11496,1,10300,23011,2024-12-07
10573,11496,1,7400,29005,2024-12-07
10573,11496,2,13800,31012,2024-12-07
10574,11171,1,19400,49014,2024-12-07
10574,11171,3,48600,47001,2024-12-07
10574,11171,1,16200,47015,2024-12-07
10574,11171,2,62400,43003,2024-12-07
10574,11171,1,24600,24015,2024-12-07
10575,11806,1,24600,24015,2024-12-07
10576,10005,1,21000,26011,2024-12-07
10576,10005,2,38800,49014,2024-12-07
10576,10005,3,20400,45013,2024-12-07
10576,10005,1,28700,5009,2024-12-07
10576,10005,3,29100,3009,2024-12-07
10577,12857,2,59600,15009,2024-12-07
10578,12038,1,12100,34013,2024-12-07
10578,12038,1,7600,30015,2024-12-07
10578,12038,2,49200,24003,2024-12-07
10578,12038,1,22500,25007,2024-12-07
10579,10555,2,20600,23011,2024-12-07
10579,10555,1,18200,17001,2024-12-07
10579,10555,1,19900,38007,2024-12-07
10579,10555,3,22800,30010,2024-12-07
10579,10555,1,9700,3001,2024-12-07
10580,13449,1,8800,11015,2024-12-07
10580,13449,1,17400,7004,2024-12-07
10580,13449,1,26500,33012,2024-12-07
10580,13449,2,36400,17012,2024-12-07
10580,13449,2,17600,11002,2024-12-07
10581,10316,2,37200,39009,2024-12-07
10581,10316,1,27800,6009,2024-12-07
10582,11537,2,59600,15002,2024-12-07
10582,11537,1,22500,25008,2024-12-07
10582,11537,2,49200,24014,2024-12-07
10570,12098,1,14900,40009,2024-12-06
10570,12098,2,62400,43009,2024-12-06
10570,12098,1,6900,31004,2024-12-06
10570,12098,2,49200,24010,2024-12-06
10571,11466,1,15800,46009,2024-12-06
10571,11466,1,14800,1001,2024-12-06
10572,10088,1,6200,9012,2024-12-06
10572,10088,3,55800,39001,2024-12-06
10555,13176,1,26500,33009,2024-12-05
10555,13176,2,13800,31004,2024-12-05
10556,10716,1,8100,44004,2024-12-05
10556,10716,1,15800,2012,2024-12-05
10556,10716,2,32200,28013,2024-12-05
10556,10716,2,21800,41005,2024-12-05
10556,10716,2,46600,42001,2024-12-05
10557,10940,1,24600,24010,2024-12-05
10557,10940,1,8800,11002,2024-12-05
10557,10940,1,31200,43003,2024-12-05
10557,10940,2,16400,12006,2024-12-05
10557,10940,1,16200,47006,2024-12-05
10558,11712,1,19400,49015,2024-12-05
10558,11712,1,8700,35006,2024-12-05
10558,11712,1,14800,1005,2024-12-05
10558,11712,3,93600,43013,2024-12-05
10559,12196,1,14800,1011,2024-12-05
10559,12196,2,19400,3001,2024-12-05
10560,12334,1,22500,25004,2024-12-05
10560,12334,3,69900,42001,2024-12-05
10560,12334,1,10900,41005,2024-12-05
10560,12334,2,16200,44009,2024-12-05
10560,12334,1,19900,38010,2024-12-05
10561,10137,1,22500,25008,2024-12-05
10561,10137,1,31200,43002,2024-12-05
10561,10137,3,20400,45013,2024-12-05
10561,10137,1,29800,15009,2024-12-05
10561,10137,1,12100,34012,2024-12-05
10561,10137,3,59700,38007,2024-12-05
10562,10249,1,31200,43009,2024-12-05
10563,10578,1,18200,17002,2024-12-05
10563,10578,1,22500,25012,2024-12-05
